FAAM-ID,Title,Permalink,"Musical Works","[Agent] Agent","[Agent] Role","Editorial annotations"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,trill
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,accent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"engage pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"release pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"musical expression"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"performance practice"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,marcato
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,mordent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"alternative melody"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,ornament
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,"comparative study"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,dynamic
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,crescendo
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,"musical phrasing"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,fingering
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,trill
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,accent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,"engage pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,"release pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Hans von Bülow",editor,"musical expression"
