Name,Form of creative work,Wikidata QID,IMSLP ID,VIAF ID,composer,arranger,composer QID,arranger QID
"Keyboard Sonata in A major, K.456",sonata,Q78243835,"Keyboard Sonata in A major, K.456 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in A major, K.456",sonata,Q78243835,"Keyboard Sonata in A major, K.456 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.455",sonata,Q67200008,"Keyboard Sonata in G major, K.455 (Scarlatti, Domenico)",182465099,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.455",sonata,Q67200008,"Keyboard Sonata in G major, K.455 (Scarlatti, Domenico)",182465099,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.454",sonata,Q67322087,"Keyboard Sonata in G major, K.454 (Scarlatti, Domenico)",294311476,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.454",sonata,Q67322087,"Keyboard Sonata in G major, K.454 (Scarlatti, Domenico)",294311476,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.449",sonata,Q78243828,"Keyboard Sonata in G major, K.449 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.449",sonata,Q78243828,"Keyboard Sonata in G major, K.449 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F-sharp minor, K.448",sonata,Q75736939,"Keyboard Sonata in F-sharp minor, K.448 (Scarlatti, Domenico)",293938782,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F-sharp minor, K.448",sonata,Q75736939,"Keyboard Sonata in F-sharp minor, K.448 (Scarlatti, Domenico)",293938782,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F-sharp minor, K.447",sonata,Q78243825,"Keyboard Sonata in F-sharp minor, K.447 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F-sharp minor, K.447",sonata,Q78243825,"Keyboard Sonata in F-sharp minor, K.447 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.445",sonata,Q78243822,"Keyboard Sonata in F major, K.445 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.445",sonata,Q78243822,"Keyboard Sonata in F major, K.445 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D minor, K.444",sonata,Q74594852,"Keyboard Sonata in D minor, K.444 (Scarlatti, Domenico)",294362684,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D minor, K.444",sonata,Q74594852,"Keyboard Sonata in D minor, K.444 (Scarlatti, Domenico)",294362684,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D major, K.443",sonata,Q74594834,"Keyboard Sonata in D major, K.443 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D major, K.443",sonata,Q74594834,"Keyboard Sonata in D major, K.443 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in B-flat major, K.442",sonata,Q78243819,"Keyboard Sonata in B-flat major, K.442 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in B-flat major, K.442",sonata,Q78243819,"Keyboard Sonata in B-flat major, K.442 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in B-flat major, K.441",sonata,Q78243816,"Keyboard Sonata in B-flat major, K.441 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in B-flat major, K.441",sonata,Q78243816,"Keyboard Sonata in B-flat major, K.441 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.427",sonata,Q67199998,"Keyboard Sonata in G major, K.427 (Scarlatti, Domenico)",292750289,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.427",sonata,Q67199998,"Keyboard Sonata in G major, K.427 (Scarlatti, Domenico)",292750289,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.425",sonata,Q67199996,"Keyboard Sonata in G major, K.425 (Scarlatti, Domenico)",294558074,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
